instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,datetime,year,month,day,day_of_week,week_of_year,season_label,weather_label,weekday_label,time_of_day,is_rush_hour,temp_category,temp_celsius,atemp_celsius,usage_period
15,2011-01-01,1,0,1,14,0,6,0,2,0.46,0.4545,0.72,0.2836,35,71,106,2011-01-01 14:00:00,2011,1,1,5,52,Spring,Mist,Saturday,Afternoon,0,Moderate,10.86,6.725000000000001,Off-Peak
16,2011-01-01,1,0,1,15,0,6,0,2,0.44,0.4394,0.77,0.2985,40,70,110,2011-01-01 15:00:00,2011,1,1,5,52,Spring,Mist,Saturday,Afternoon,0,Moderate,10.04,5.969999999999999,Off-Peak
17,2011-01-01,1,0,1,16,0,6,0,2,0.42,0.4242,0.82,0.2985,41,52,93,2011-01-01 16:00:00,2011,1,1,5,52,Spring,Mist,Saturday,Afternoon,0,Moderate,9.219999999999999,5.210000000000001,Off-Peak
18,2011-01-01,1,0,1,17,0,6,0,2,0.44,0.4394,0.82,0.2836,15,52,67,2011-01-01 17:00:00,2011,1,1,5,52,Spring,Mist,Saturday,Afternoon,1,Moderate,10.04,5.969999999999999,Peak
19,2011-01-01,1,0,1,18,0,6,0,3,0.42,0.4242,0.88,0.2537,9,26,35,2011-01-01 18:00:00,2011,1,1,5,52,Spring,Light Snow/Rain,Saturday,Evening,1,Moderate,9.219999999999999,5.210000000000001,Peak
20,2011-01-01,1,0,1,19,0,6,0,3,0.42,0.4242,0.88,0.2537,6,31,37,2011-01-01 19:00:00,2011,1,1,5,52,Spring,Light Snow/Rain,Saturday,Evening,0,Moderate,9.219999999999999,5.210000000000001,Off-Peak
21,2011-01-01,1,0,1,20,0,6,0,2,0.4,0.4091,0.87,0.2537,11,25,36,2011-01-01 20:00:00,2011,1,1,5,52,Spring,Mist,Saturday,Evening,0,Moderate,8.400000000000002,4.455000000000002,Off-Peak
22,2011-01-01,1,0,1,21,0,6,0,2,0.4,0.4091,0.87,0.194,3,31,34,2011-01-01 21:00:00,2011,1,1,5,52,Spring,Mist,Saturday,Evening,0,Moderate,8.400000000000002,4.455000000000002,Off-Peak
23,2011-01-01,1,0,1,22,0,6,0,2,0.4,0.4091,0.94,0.2239,11,17,28,2011-01-01 22:00:00,2011,1,1,5,52,Spring,Mist,Saturday,Evening,0,Moderate,8.400000000000002,4.455000000000002,Off-Peak
24,2011-01-01,1,0,1,23,0,6,0,2,0.46,0.4545,0.88,0.2985,15,24,39,2011-01-01 23:00:00,2011,1,1,5,52,Spring,Mist,Saturday,Evening,0,Moderate,10.86,6.725000000000001,Off-Peak
25,2011-01-02,1,0,1,0,0,0,0,2,0.46,0.4545,0.88,0.2985,4,13,17,2011-01-02 00:00:00,2011,1,2,6,52,Spring,Mist,Sunday,Night,0,Moderate,10.86,6.725000000000001,Off-Peak
26,2011-01-02,1,0,1,1,0,0,0,2,0.44,0.4394,0.94,0.2537,1,16,17,2011-01-02 01:00:00,2011,1,2,6,52,Spring,Mist,Sunday,Night,0,Moderate,10.04,5.969999999999999,Off-Peak
27,2011-01-02,1,0,1,2,0,0,0,2,0.42,0.4242,1.0,0.2836,1,8,9,2011-01-02 02:00:00,2011,1,2,6,52,Spring,Mist,Sunday,Night,0,Moderate,9.219999999999999,5.210000000000001,Off-Peak
28,2011-01-02,1,0,1,3,0,0,0,2,0.46,0.4545,0.94,0.194,2,4,6,2011-01-02 03:00:00,2011,1,2,6,52,Spring,Mist,Sunday,Night,0,Moderate,10.86,6.725000000000001,Off-Peak
29,2011-01-02,1,0,1,4,0,0,0,2,0.46,0.4545,0.94,0.194,2,1,3,2011-01-02 04:00:00,2011,1,2,6,52,Spring,Mist,Sunday,Night,0,Moderate,10.86,6.725000000000001,Off-Peak
30,2011-01-02,1,0,1,6,0,0,0,3,0.42,0.4242,0.77,0.2985,0,2,2,2011-01-02 06:00:00,2011,1,2,6,52,Spring,Light Snow/Rain,Sunday,Morning,0,Moderate,9.219999999999999,5.210000000000001,Off-Peak
31,2011-01-02,1,0,1,7,0,0,0,2,0.4,0.4091,0.76,0.194,0,1,1,2011-01-02 07:00:00,2011,1,2,6,52,Spring,Mist,Sunday,Morning,1,Moderate,8.400000000000002,4.455000000000002,Peak
32,2011-01-02,1,0,1,8,0,0,0,3,0.4,0.4091,0.71,0.2239,0,8,8,2011-01-02 08:00:00,2011,1,2,6,52,Spring,Light Snow/Rain,Sunday,Morning,1,Moderate,8.400000000000002,4.455000000000002,Peak
33,2011-01-02,1,0,1,9,0,0,0,2,0.38,0.3939,0.76,0.2239,1,19,20,2011-01-02 09:00:00,2011,1,2,6,52,Spring,Mist,Sunday,Morning,0,Moderate,7.58,3.6950000000000003,Off-Peak
34,2011-01-02,1,0,1,10,0,0,0,2,0.36,0.3485,0.81,0.2239,7,46,53,2011-01-02 10:00:00,2011,1,2,6,52,Spring,Mist,Sunday,Morning,0,Moderate,6.76,1.4249999999999972,Off-Peak
35,2011-01-02,1,0,1,11,0,0,0,2,0.36,0.3333,0.71,0.2537,16,54,70,2011-01-02 11:00:00,2011,1,2,6,52,Spring,Mist,Sunday,Morning,0,Moderate,6.76,0.6649999999999991,Off-Peak
36,2011-01-02,1,0,1,12,0,0,0,2,0.36,0.3333,0.66,0.2985,20,73,93,2011-01-02 12:00:00,2011,1,2,6,52,Spring,Mist,Sunday,Afternoon,0,Moderate,6.76,0.6649999999999991,Off-Peak
37,2011-01-02,1,0,1,13,0,0,0,2,0.36,0.3485,0.66,0.1343,11,64,75,2011-01-02 13:00:00,2011,1,2,6,52,Spring,Mist,Sunday,Afternoon,0,Moderate,6.76,1.4249999999999972,Off-Peak
38,2011-01-02,1,0,1,14,0,0,0,3,0.36,0.3485,0.76,0.194,4,55,59,2011-01-02 14:00:00,2011,1,2,6,52,Spring,Light Snow/Rain,Sunday,Afternoon,0,Moderate,6.76,1.4249999999999972,Off-Peak
39,2011-01-02,1,0,1,15,0,0,0,3,0.34,0.3333,0.81,0.1642,19,55,74,2011-01-02 15:00:00,2011,1,2,6,52,Spring,Light Snow/Rain,Sunday,Afternoon,0,Moderate,5.940000000000001,0.6649999999999991,Off-Peak
40,2011-01-02,1,0,1,16,0,0,0,3,0.34,0.3333,0.71,0.1642,9,67,76,2011-01-02 16:00:00,2011,1,2,6,52,Spring,Light Snow/Rain,Sunday,Afternoon,0,Moderate,5.940000000000001,0.6649999999999991,Off-Peak
41,2011-01-02,1,0,1,17,0,0,0,1,0.34,0.3333,0.57,0.194,7,58,65,2011-01-02 17:00:00,2011,1,2,6,52,Spring,Clear,Sunday,Afternoon,1,Moderate,5.940000000000001,0.6649999999999991,Peak
42,2011-01-02,1,0,1,18,0,0,0,2,0.36,0.3333,0.46,0.3284,10,43,53,2011-01-02 18:00:00,2011,1,2,6,52,Spring,Mist,Sunday,Evening,1,Moderate,6.76,0.6649999999999991,Peak
43,2011-01-02,1,0,1,19,0,0,0,1,0.32,0.2879,0.42,0.4478,1,29,30,2011-01-02 19:00:00,2011,1,2,6,52,Spring,Clear,Sunday,Evening,0,Moderate,5.120000000000001,-1.6050000000000004,Off-Peak
44,2011-01-02,1,0,1,20,0,0,0,1,0.3,0.2727,0.39,0.3582,5,17,22,2011-01-02 20:00:00,2011,1,2,6,52,Spring,Clear,Sunday,Evening,0,Cold,4.299999999999999,-2.365,Off-Peak
45,2011-01-02,1,0,1,21,0,0,0,1,0.26,0.2273,0.44,0.3284,11,20,31,2011-01-02 21:00:00,2011,1,2,6,52,Spring,Clear,Sunday,Evening,0,Cold,2.66,-4.635,Off-Peak
46,2011-01-02,1,0,1,22,0,0,0,1,0.24,0.2121,0.44,0.2985,0,9,9,2011-01-02 22:00:00,2011,1,2,6,52,Spring,Clear,Sunday,Evening,0,Cold,1.8399999999999999,-5.395,Off-Peak
47,2011-01-02,1,0,1,23,0,0,0,1,0.22,0.2273,0.47,0.1642,0,8,8,2011-01-02 23:00:00,2011,1,2,6,52,Spring,Clear,Sunday,Evening,0,Cold,1.0199999999999996,-4.635,Off-Peak
48,2011-01-03,1,0,1,0,0,1,1,1,0.22,0.197,0.44,0.3582,0,5,5,2011-01-03 00:00:00,2011,1,3,0,1,Spring,Clear,Monday,Night,0,Cold,1.0199999999999996,-6.15,Off-Peak
49,2011-01-03,1,0,1,1,0,1,1,1,0.2,0.1667,0.44,0.4179,0,2,2,2011-01-03 01:00:00,2011,1,3,0,1,Spring,Clear,Monday,Night,0,Cold,0.20000000000000107,-7.665000000000001,Off-Peak
50,2011-01-03,1,0,1,4,0,1,1,1,0.16,0.1364,0.47,0.3881,0,1,1,2011-01-03 04:00:00,2011,1,3,0,1,Spring,Clear,Monday,Night,0,Cold,-1.4399999999999995,-9.18,Off-Peak
51,2011-01-03,1,0,1,5,0,1,1,1,0.16,0.1364,0.47,0.2836,0,3,3,2011-01-03 05:00:00,2011,1,3,0,1,Spring,Clear,Monday,Night,0,Cold,-1.4399999999999995,-9.18,Off-Peak
52,2011-01-03,1,0,1,6,0,1,1,1,0.14,0.1061,0.5,0.3881,0,30,30,2011-01-03 06:00:00,2011,1,3,0,1,Spring,Clear,Monday,Morning,0,Cold,-2.26,-10.695,Off-Peak
53,2011-01-03,1,0,1,7,0,1,1,1,0.14,0.1364,0.5,0.194,1,63,64,2011-01-03 07:00:00,2011,1,3,0,1,Spring,Clear,Monday,Morning,1,Cold,-2.26,-9.18,Peak
54,2011-01-03,1,0,1,8,0,1,1,1,0.14,0.1212,0.5,0.2836,1,153,154,2011-01-03 08:00:00,2011,1,3,0,1,Spring,Clear,Monday,Morning,1,Cold,-2.26,-9.94,Peak
55,2011-01-03,1,0,1,9,0,1,1,1,0.16,0.1364,0.43,0.3881,7,81,88,2011-01-03 09:00:00,2011,1,3,0,1,Spring,Clear,Monday,Morning,0,Cold,-1.4399999999999995,-9.18,Off-Peak
56,2011-01-03,1,0,1,10,0,1,1,1,0.18,0.1667,0.43,0.2537,11,33,44,2011-01-03 10:00:00,2011,1,3,0,1,Spring,Clear,Monday,Morning,0,Cold,-0.6200000000000001,-7.665000000000001,Off-Peak
57,2011-01-03,1,0,1,11,0,1,1,1,0.2,0.1818,0.4,0.3284,10,41,51,2011-01-03 11:00:00,2011,1,3,0,1,Spring,Clear,Monday,Morning,0,Cold,0.20000000000000107,-6.91,Off-Peak
58,2011-01-03,1,0,1,12,0,1,1,1,0.22,0.2121,0.35,0.2985,13,48,61,2011-01-03 12:00:00,2011,1,3,0,1,Spring,Clear,Monday,Afternoon,0,Cold,1.0199999999999996,-5.395,Off-Peak
59,2011-01-03,1,0,1,13,0,1,1,1,0.24,0.2121,0.35,0.2836,8,53,61,2011-01-03 13:00:00,2011,1,3,0,1,Spring,Clear,Monday,Afternoon,0,Cold,1.8399999999999999,-5.395,Off-Peak
60,2011-01-03,1,0,1,14,0,1,1,1,0.26,0.2424,0.3,0.2836,11,66,77,2011-01-03 14:00:00,2011,1,3,0,1,Spring,Clear,Monday,Afternoon,0,Cold,2.66,-3.879999999999999,Off-Peak
61,2011-01-03,1,0,1,15,0,1,1,1,0.26,0.2424,0.3,0.2537,14,58,72,2011-01-03 15:00:00,2011,1,3,0,1,Spring,Clear,Monday,Afternoon,0,Cold,2.66,-3.879999999999999,Off-Peak
62,2011-01-03,1,0,1,16,0,1,1,1,0.26,0.2424,0.3,0.2537,9,67,76,2011-01-03 16:00:00,2011,1,3,0,1,Spring,Clear,Monday,Afternoon,0,Cold,2.66,-3.879999999999999,Off-Peak
63,2011-01-03,1,0,1,17,0,1,1,1,0.24,0.2273,0.3,0.2239,11,146,157,2011-01-03 17:00:00,2011,1,3,0,1,Spring,Clear,Monday,Afternoon,1,Cold,1.8399999999999999,-4.635,Peak
64,2011-01-03,1,0,1,18,0,1,1,1,0.24,0.2576,0.32,0.1045,9,148,157,2011-01-03 18:00:00,2011,1,3,0,1,Spring,Clear,Monday,Evening,1,Cold,1.8399999999999999,-3.120000000000001,Peak
65,2011-01-03,1,0,1,19,0,1,1,1,0.2,0.2576,0.47,0.0,8,102,110,2011-01-03 19:00:00,2011,1,3,0,1,Spring,Clear,Monday,Evening,0,Cold,0.20000000000000107,-3.120000000000001,Off-Peak
66,2011-01-03,1,0,1,20,0,1,1,1,0.2,0.2273,0.47,0.1045,3,49,52,2011-01-03 20:00:00,2011,1,3,0,1,Spring,Clear,Monday,Evening,0,Cold,0.20000000000000107,-4.635,Off-Peak
67,2011-01-03,1,0,1,21,0,1,1,1,0.18,0.197,0.64,0.1343,3,49,52,2011-01-03 21:00:00,2011,1,3,0,1,Spring,Clear,Monday,Evening,0,Cold,-0.6200000000000001,-6.15,Off-Peak
68,2011-01-03,1,0,1,22,0,1,1,1,0.14,0.1515,0.69,0.1343,0,20,20,2011-01-03 22:00:00,2011,1,3,0,1,Spring,Clear,Monday,Evening,0,Cold,-2.26,-8.425,Off-Peak
69,2011-01-03,1,0,1,23,0,1,1,1,0.18,0.2121,0.55,0.1045,1,11,12,2011-01-03 23:00:00,2011,1,3,0,1,Spring,Clear,Monday,Evening,0,Cold,-0.6200000000000001,-5.395,Off-Peak
70,2011-01-04,1,0,1,0,0,2,1,1,0.16,0.1818,0.55,0.1045,0,5,5,2011-01-04 00:00:00,2011,1,4,1,1,Spring,Clear,Tuesday,Night,0,Cold,-1.4399999999999995,-6.91,Off-Peak
71,2011-01-04,1,0,1,1,0,2,1,1,0.16,0.1818,0.59,0.1045,0,2,2,2011-01-04 01:00:00,2011,1,4,1,1,Spring,Clear,Tuesday,Night,0,Cold,-1.4399999999999995,-6.91,Off-Peak
72,2011-01-04,1,0,1,2,0,2,1,1,0.14,0.1515,0.63,0.1343,0,1,1,2011-01-04 02:00:00,2011,1,4,1,1,Spring,Clear,Tuesday,Night,0,Cold,-2.26,-8.425,Off-Peak
73,2011-01-04,1,0,1,4,0,2,1,1,0.14,0.1818,0.63,0.0896,0,2,2,2011-01-04 04:00:00,2011,1,4,1,1,Spring,Clear,Tuesday,Night,0,Cold,-2.26,-6.91,Off-Peak
74,2011-01-04,1,0,1,5,0,2,1,1,0.12,0.1515,0.68,0.1045,0,4,4,2011-01-04 05:00:00,2011,1,4,1,1,Spring,Clear,Tuesday,Night,0,Cold,-3.08,-8.425,Off-Peak
75,2011-01-04,1,0,1,6,0,2,1,1,0.12,0.1515,0.74,0.1045,0,36,36,2011-01-04 06:00:00,2011,1,4,1,1,Spring,Clear,Tuesday,Morning,0,Cold,-3.08,-8.425,Off-Peak
76,2011-01-04,1,0,1,7,0,2,1,1,0.12,0.1515,0.74,0.1343,2,92,94,2011-01-04 07:00:00,2011,1,4,1,1,Spring,Clear,Tuesday,Morning,1,Cold,-3.08,-8.425,Peak
77,2011-01-04,1,0,1,8,0,2,1,1,0.14,0.1515,0.69,0.1642,2,177,179,2011-01-04 08:00:00,2011,1,4,1,1,Spring,Clear,Tuesday,Morning,1,Cold,-2.26,-8.425,Peak
78,2011-01-04,1,0,1,9,0,2,1,1,0.16,0.1515,0.64,0.2239,2,98,100,2011-01-04 09:00:00,2011,1,4,1,1,Spring,Clear,Tuesday,Morning,0,Cold,-1.4399999999999995,-8.425,Off-Peak
79,2011-01-04,1,0,1,10,0,2,1,2,0.16,0.1364,0.69,0.3284,5,37,42,2011-01-04 10:00:00,2011,1,4,1,1,Spring,Mist,Tuesday,Morning,0,Cold,-1.4399999999999995,-9.18,Off-Peak
80,2011-01-04,1,0,1,11,0,2,1,1,0.22,0.2121,0.51,0.2985,7,50,57,2011-01-04 11:00:00,2011,1,4,1,1,Spring,Clear,Tuesday,Morning,0,Cold,1.0199999999999996,-5.395,Off-Peak
81,2011-01-04,1,0,1,12,0,2,1,1,0.22,0.2273,0.51,0.1642,12,66,78,2011-01-04 12:00:00,2011,1,4,1,1,Spring,Clear,Tuesday,Afternoon,0,Cold,1.0199999999999996,-4.635,Off-Peak
82,2011-01-04,1,0,1,13,0,2,1,1,0.24,0.2273,0.56,0.194,18,79,97,2011-01-04 13:00:00,2011,1,4,1,1,Spring,Clear,Tuesday,Afternoon,0,Cold,1.8399999999999999,-4.635,Off-Peak
83,2011-01-04,1,0,1,14,0,2,1,1,0.26,0.2576,0.52,0.2239,9,54,63,2011-01-04 14:00:00,2011,1,4,1,1,Spring,Clear,Tuesday,Afternoon,0,Cold,2.66,-3.120000000000001,Off-Peak
84,2011-01-04,1,0,1,15,0,2,1,1,0.28,0.2727,0.52,0.2537,17,48,65,2011-01-04 15:00:00,2011,1,4,1,1,Spring,Clear,Tuesday,Afternoon,0,Cold,3.4800000000000004,-2.365,Off-Peak
85,2011-01-04,1,0,1,16,0,2,1,1,0.3,0.2879,0.49,0.2537,15,68,83,2011-01-04 16:00:00,2011,1,4,1,1,Spring,Clear,Tuesday,Afternoon,0,Cold,4.299999999999999,-1.6050000000000004,Off-Peak
86,2011-01-04,1,0,1,17,0,2,1,1,0.28,0.2727,0.48,0.2239,10,202,212,2011-01-04 17:00:00,2011,1,4,1,1,Spring,Clear,Tuesday,Afternoon,1,Cold,3.4800000000000004,-2.365,Peak
87,2011-01-04,1,0,1,18,0,2,1,1,0.26,0.2576,0.48,0.194,3,179,182,2011-01-04 18:00:00,2011,1,4,1,1,Spring,Clear,Tuesday,Evening,1,Cold,2.66,-3.120000000000001,Peak
88,2011-01-04,1,0,1,19,0,2,1,1,0.24,0.2576,0.48,0.1045,2,110,112,2011-01-04 19:00:00,2011,1,4,1,1,Spring,Clear,Tuesday,Evening,0,Cold,1.8399999999999999,-3.120000000000001,Off-Peak
89,2011-01-04,1,0,1,20,0,2,1,1,0.24,0.2576,0.48,0.1045,1,53,54,2011-01-04 20:00:00,2011,1,4,1,1,Spring,Clear,Tuesday,Evening,0,Cold,1.8399999999999999,-3.120000000000001,Off-Peak
90,2011-01-04,1,0,1,21,0,2,1,1,0.22,0.2727,0.64,0.0,0,48,48,2011-01-04 21:00:00,2011,1,4,1,1,Spring,Clear,Tuesday,Evening,0,Cold,1.0199999999999996,-2.365,Off-Peak
91,2011-01-04,1,0,1,22,0,2,1,1,0.22,0.2576,0.64,0.0896,1,34,35,2011-01-04 22:00:00,2011,1,4,1,1,Spring,Clear,Tuesday,Evening,0,Cold,1.0199999999999996,-3.120000000000001,Off-Peak
92,2011-01-04,1,0,1,23,0,2,1,1,0.2,0.2273,0.69,0.0896,2,9,11,2011-01-04 23:00:00,2011,1,4,1,1,Spring,Clear,Tuesday,Evening,0,Cold,0.20000000000000107,-4.635,Off-Peak
93,2011-01-05,1,0,1,0,0,3,1,1,0.2,0.2576,0.64,0.0,0,6,6,2011-01-05 00:00:00,2011,1,5,2,1,Spring,Clear,Wednesday,Night,0,Cold,0.20000000000000107,-3.120000000000001,Off-Peak
94,2011-01-05,1,0,1,1,0,3,1,1,0.16,0.197,0.74,0.0896,0,6,6,2011-01-05 01:00:00,2011,1,5,2,1,Spring,Clear,Wednesday,Night,0,Cold,-1.4399999999999995,-6.15,Off-Peak
95,2011-01-05,1,0,1,2,0,3,1,1,0.16,0.197,0.74,0.0896,0,2,2,2011-01-05 02:00:00,2011,1,5,2,1,Spring,Clear,Wednesday,Night,0,Cold,-1.4399999999999995,-6.15,Off-Peak
96,2011-01-05,1,0,1,4,0,3,1,1,0.24,0.2273,0.48,0.2239,0,2,2,2011-01-05 04:00:00,2011,1,5,2,1,Spring,Clear,Wednesday,Night,0,Cold,1.8399999999999999,-4.635,Off-Peak
97,2011-01-05,1,0,1,5,0,3,1,1,0.22,0.2273,0.47,0.1642,0,3,3,2011-01-05 05:00:00,2011,1,5,2,1,Spring,Clear,Wednesday,Night,0,Cold,1.0199999999999996,-4.635,Off-Peak
98,2011-01-05,1,0,1,6,0,3,1,1,0.2,0.197,0.47,0.2239,0,33,33,2011-01-05 06:00:00,2011,1,5,2,1,Spring,Clear,Wednesday,Morning,0,Cold,0.20000000000000107,-6.15,Off-Peak
99,2011-01-05,1,0,1,7,0,3,1,1,0.18,0.1818,0.43,0.194,1,87,88,2011-01-05 07:00:00,2011,1,5,2,1,Spring,Clear,Wednesday,Morning,1,Cold,-0.6200000000000001,-6.91,Peak
100,2011-01-05,1,0,1,8,0,3,1,1,0.2,0.1818,0.4,0.2985,3,192,195,2011-01-05 08:00:00,2011,1,5,2,1,Spring,Clear,Wednesday,Morning,1,Cold,0.20000000000000107,-6.91,Peak
101,2011-01-05,1,0,1,9,0,3,1,1,0.22,0.197,0.37,0.3284,6,109,115,2011-01-05 09:00:00,2011,1,5,2,1,Spring,Clear,Wednesday,Morning,0,Cold,1.0199999999999996,-6.15,Off-Peak
102,2011-01-05,1,0,1,10,0,3,1,1,0.22,0.197,0.37,0.3284,4,53,57,2011-01-05 10:00:00,2011,1,5,2,1,Spring,Clear,Wednesday,Morning,0,Cold,1.0199999999999996,-6.15,Off-Peak
103,2011-01-05,1,0,1,11,0,3,1,1,0.26,0.2273,0.33,0.3284,12,34,46,2011-01-05 11:00:00,2011,1,5,2,1,Spring,Clear,Wednesday,Morning,0,Cold,2.66,-4.635,Off-Peak
104,2011-01-05,1,0,1,12,0,3,1,1,0.26,0.2273,0.33,0.3284,5,74,79,2011-01-05 12:00:00,2011,1,5,2,1,Spring,Clear,Wednesday,Afternoon,0,Cold,2.66,-4.635,Off-Peak
105,2011-01-05,1,0,1,13,0,3,1,1,0.28,0.2576,0.3,0.2985,6,65,71,2011-01-05 13:00:00,2011,1,5,2,1,Spring,Clear,Wednesday,Afternoon,0,Cold,3.4800000000000004,-3.120000000000001,Off-Peak
106,2011-01-05,1,0,1,14,0,3,1,1,0.3,0.2879,0.28,0.194,10,52,62,2011-01-05 14:00:00,2011,1,5,2,1,Spring,Clear,Wednesday,Afternoon,0,Cold,4.299999999999999,-1.6050000000000004,Off-Peak
107,2011-01-05,1,0,1,15,0,3,1,1,0.3,0.2879,0.28,0.194,7,55,62,2011-01-05 15:00:00,2011,1,5,2,1,Spring,Clear,Wednesday,Afternoon,0,Cold,4.299999999999999,-1.6050000000000004,Off-Peak
108,2011-01-05,1,0,1,16,0,3,1,1,0.3,0.3182,0.28,0.0896,4,85,89,2011-01-05 16:00:00,2011,1,5,2,1,Spring,Clear,Wednesday,Afternoon,0,Cold,4.299999999999999,-0.09000000000000163,Off-Peak
109,2011-01-05,1,0,1,17,0,3,1,1,0.24,0.2273,0.38,0.194,4,186,190,2011-01-05 17:00:00,2011,1,5,2,1,Spring,Clear,Wednesday,Afternoon,1,Cold,1.8399999999999999,-4.635,Peak
110,2011-01-05,1,0,1,18,0,3,1,1,0.24,0.2424,0.38,0.1343,3,166,169,2011-01-05 18:00:00,2011,1,5,2,1,Spring,Clear,Wednesday,Evening,1,Cold,1.8399999999999999,-3.879999999999999,Peak
111,2011-01-05,1,0,1,19,0,3,1,1,0.24,0.2576,0.38,0.1045,5,127,132,2011-01-05 19:00:00,2011,1,5,2,1,Spring,Clear,Wednesday,Evening,0,Cold,1.8399999999999999,-3.120000000000001,Off-Peak
112,2011-01-05,1,0,1,20,0,3,1,1,0.22,0.2273,0.47,0.1642,7,82,89,2011-01-05 20:00:00,2011,1,5,2,1,Spring,Clear,Wednesday,Evening,0,Cold,1.0199999999999996,-4.635,Off-Peak
113,2011-01-05,1,0,1,21,0,3,1,1,0.2,0.197,0.51,0.194,3,40,43,2011-01-05 21:00:00,2011,1,5,2,1,Spring,Clear,Wednesday,Evening,0,Cold,0.20000000000000107,-6.15,Off-Peak
114,2011-01-05,1,0,1,22,0,3,1,1,0.18,0.197,0.55,0.1343,1,41,42,2011-01-05 22:00:00,2011,1,5,2,1,Spring,Clear,Wednesday,Evening,0,Cold,-0.6200000000000001,-6.15,Off-Peak
115,2011-01-05,1,0,1,23,0,3,1,1,0.2,0.2576,0.47,0.0,1,18,19,2011-01-05 23:00:00,2011,1,5,2,1,Spring,Clear,Wednesday,Evening,0,Cold,0.20000000000000107,-3.120000000000001,Off-Peak
116,2011-01-06,1,0,1,0,0,4,1,1,0.18,0.2424,0.55,0.0,0,11,11,2011-01-06 00:00:00,2011,1,6,3,1,Spring,Clear,Thursday,Night,0,Cold,-0.6200000000000001,-3.879999999999999,Off-Peak
